ServiceTag,product,new_appgroup,node,产品线,hostname,IP,OS,装机模版,机型,机房,包间,机柜编号,机位,机柜位置,ASW编号,所有产品,节点数量,节点配置,区域,service,serviceInstanceNo,runtimeResourceLimit,region
sn_79852,ads,,dms,,,,,,docker,,,,,,,,,,,ads_service,1,"{""mem_limit"":""4G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_09287,baseService,,account-lite-openapi,,,,,,docker,,,,,,,,,,,aas-openapi,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_21074,slb,,slb-control-haproxy,,,,,,docker,,,,,,,,,,,controller,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_94236,webapp,,zixia-portal,,,,,,docker,,,,,,,,,,,zixia,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_73069,webapp,,zixia-portal,,,,,,docker,,,,,,,,,,,zixia,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_74165,ads,,ads_ag,,,,,,docker,,,,,,,,,,,ads_service,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_46127,slb,,slb-control-master,,,,,,docker,,,,,,,,,,,controller,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_47538,slb,,slb-control-master,,,,,,docker,,,,,,,,,,,controller,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_71649,ecs,,apiproxy,,,,,,docker,,,,,,,,,,,houyi,1,"{""mem_limit"":""1024M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_59407,ecs,,apiproxy,,,,,,docker,,,,,,,,,,,houyi,1,"{""mem_limit"":""1024M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_12756,tianji,,alertportalDB,,,,,,docker,,,,,,,,,,,alertportal,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_61845,base,,base-biz-dbinit,,,,,,docker,,,,,,,,,,,baseBizApp,1,"{""mem_limit"":""1024M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_91350,base,,base_regress_test,,,,,,docker,,,,,,,,,,,base_test_service,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_37450,webapp,,pop-db-aliyun-com,,,,,,docker,,,,,,,,,,,pop,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_91785,ecs,,test-demo,,,,,,docker,,,,,,,,,,,luorigong,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
